oid,SPM_A_1,SPM_t0_1,SPM_gamma_1,SPM_beta_1,SPM_tau_rise_1,SPM_tau_fall_1,SPM_chi_1,SPM_A_2,SPM_t0_2,SPM_gamma_2,SPM_beta_2,SPM_tau_rise_2,SPM_tau_fall_2,SPM_chi_2
ZTF17aadlxmv,0.33916804600759215,5.039541639012358,21.779837749994677,0.6421269409516188,2.3298211907901027,11.688850322030376,0.007553508349149238,0.31168629578982393,6.958042193419479,21.231870367336533,0.4167753076741578,3.677211808724485,30.091575016340457,0.5944091421755353
ZTF18aaaqexr,0.19809600909899733,0.5044454353118427,2.0744752134099795,0.1128857936090571,1.2053287959591361,17.585409260906395,0.2819991529919494,0.2926993424013347,-8.394195137075151,9.801747860691023,0.44768659616076106,8.599670687078266,32.414656959706974,
ZTF18aacdbzx,0.1837772837404419,-7.254929799326731,1.0007365485333983,0.33358516325968146,3.34474284794102,24.821414172998793,0.033286653210499915,0.11415905686504547,-5.114678264790845,13.845586588073413,0.06372496746300646,10.514455963809123,20.820921725437874,0.04452886850402087
ZTF18aadmssd,1.4625686720632942,-20.99596535167298,28.830317542505878,0.7631443604930014,2.939169219451348,22.204705089020052,0.010855251592447128,2.067952271657318,-22.606536228164437,39.255643981255716,0.7551303932471746,17.08741993961698,46.76068580029869,1.111489081678125
ZTF18aadzfso,0.21133957473527143,5.36924431912768,5.263729478545387,0.0738239651321375,3.554784765246801,14.225589656222256,0.02831697249641992,0.25798482634858555,4.309859063217883,18.030779485309782,0.6068234986512775,3.959666266333612,85.04654812793653,0.02738655829436107
ZTF18aaermez,0.17568400754622365,1.5195579536212427,8.140873052414431,0.0011108834052697537,8.207382555531698,21.426902277160337,0.12398775343614758,0.45647686461370196,-10.767965053149045,44.214113495328945,0.4838264371822528,25.675857167571436,25.166028971019703,17.122695147245057
ZTF18aahatvc,0.28718829245877103,6.484649079513071,32.31328551072989,0.8296204715763883,3.1539548262757178,23.315645181774414,0.113634945596087,0.2585156099448347,6.862356179767043,31.900685155344014,0.5712183028514068,3.3995329130761314,28.668304182049248,0.14140779029165654
ZTF18aahvndq,3.2220968600374986,4.076667572941343,29.33720385575927,0.8497163851594638,2.6086018464107474,22.475439047514335,0.6864798718817604,2.3519155707884023,13.064881630075401,33.601743472735706,0.733363530603316,7.567850692342914,24.144583260620045,5.191489578074045
ZTF18aaiiigm,0.26502158483128097,-4.956314130888298,2.1313734975438394,0.4651198806567106,1.000000000099971,40.00218257317234,,0.21128609956818128,6.919356756076557,21.515120979697784,0.7479344481066862,7.141234855240454,38.07780449972245,
ZTF18aailmnv,0.26162333120598263,4.635120815495468,7.903745374937941,0.15333952464619538,3.933819944196861,13.85887313919966,0.13726338368549665,0.20433481308581966,6.718840880145467,22.28923154179849,0.509023173346525,3.733499643621568,28.908234471754973,0.09673401814459769
ZTF18aaisybp,0.521020286728995,-14.883813007199363,19.89718545651191,0.6106567094707632,10.956246537259403,9.218400609299987,0.037034768527303634,0.5397762589514755,-29.057101889171822,28.865948787800214,0.5428355207526943,10.342891069386175,27.87690399177988,0.2438118857821072
ZTF18aaiykoz,2.4654532742181985,-12.812556580527819,48.74164129165582,0.8042876768668854,26.75632708404676,21.200695778523322,43.86342884934895,1.6482758772646204,-8.282015653500526,54.367654796262244,0.673095777809072,32.60409693984414,27.594962202390313,57.815626120541125
ZTF18aaizerg,0.22761648059062248,1.2293407675436057,5.480725775965711,0.027640813373219542,8.357813554462531,10.222666548015349,0.0390746979990662,0.3017204426086047,5.392393706309118,13.448368385587232,0.6341840877034916,7.425372064830726,22.89975500654767,0.11246886807934262
ZTF18aajkivu,0.10708522147827651,49.99960159444471,99.99999999994272,0.002831823386062155,84.22480800861848,99.99895789872723,4.695445904192321,0.09825972724054104,48.96401619421743,99.99999999901769,0.03052683948581309,99.30897436873201,99.95430260729033,3.4228107932725518
ZTF18aakkrjm,0.22091252824974777,8.047386714321394,7.592260037177336,0.28688930820845454,3.7446903192046745,12.420390557095159,0.18652392621020314,0.4087567712534535,10.633375548301728,20.023160876776206,0.7263092744282204,4.2387675342323,35.030483225989855,0.08010960178733482
ZTF18aalxmaq,0.18451975852140381,1.064594879819476,4.601475509489534,0.001695740370741072,4.393037723708921,23.168936361764562,0.05660585635001384,0.1589771924887759,-0.07019828151651092,5.236752535193108,0.04586300390063629,3.9044125590028345,47.230362554447304,0.09141775044608089
ZTF18aangpkx,0.1547886464926137,1.1306481792380094,13.326359329656686,0.13006535236917227,1.4686747980990968,9.409342696233606,0.2182028803166802,0.2104609460975857,-12.618503878154776,17.635830628278523,0.002707808011481575,17.693565889666466,18.30341972798645,0.15782450387659278
ZTF18aansqun,0.16828056958338417,3.6442691803205833,22.58580158961091,0.9678984485011568,3.488312363618514,57.90026701629091,,0.1257617649407535,-0.026240216537806595,39.756331312237656,0.6504095492436511,1.009567119787194,5.949892085460928,0.19850364603810544
ZTF18aaodrgt,,,,,,,,0.4999836175143137,4.51440240376068,7.186470306900813,0.45161743834272733,9.288964957205827,16.35389298286133,0.2672984305676495
ZTF18aaoxryq,0.19176347844403874,-19.749839188798635,18.420824679201612,0.504206834987962,37.26245642782119,99.41467243184321,2.6212732636556275,0.23536378621438622,-3.9963786771092766,1.0045718791272047,0.381356104193542,5.5516867824282965,76.66987854188235,0.006319629402311459
ZTF18aapaohn,0.23971800734808632,-8.535292713138475,21.824869103226085,0.005835380362029817,8.851641500750002,11.183931349940595,2.087005798286138,0.3326466357838221,0.4899823456443624,42.75837966445849,0.6669813623993474,2.2209965498335764,44.78592874107735,0.2575637799505967
ZTF18aapqwyv,0.2961809667792268,-8.220385862939183,8.224509883292312,0.5520357615773944,3.794373964532732,9.867094728520911,,0.46063560847845997,-15.86508131377198,17.7819380365025,0.7157081406955346,4.319912309798279,25.2006382152828,
ZTF18aaqeasu,,,,,,,,0.114974684614671,2.8203850175254552,19.312977956246936,0.5172520580440529,4.524225647864476,8.68303765224939,0.015493003122519762
ZTF18aaqkcso,1.9486064494066113,0.2863947799014639,76.5662025547653,0.750321493522522,41.21983804472735,49.95328987741526,9.311564774703642,2.0570297433105287,-0.3483472107987833,67.35097417056387,0.5648227695836363,28.476171116964974,26.005809003564124,27.86594479316661
ZTF18aaqkdwf,0.111214573966591,17.150532583754018,98.10818436112325,0.17788338713773733,12.878013077321269,99.9783890780459,0.17400639608422247,0.14775851401770743,14.146887739917227,99.99999999882633,0.3466520395276064,17.312947776434974,99.99248680971684,0.08410308730179655
ZTF18aaqkdwu,0.17605702603778706,2.6669032942419113,1.0132465493836935,0.012990866296768027,2.5517422879440015,19.124082445685957,0.05277585319652527,0.17644840160044042,-11.504677358510783,48.47442617454085,0.5240172033955938,52.012993945381076,99.97689724094066,1.3697624046250332
ZTF18aaqkjuw,0.13098338927254619,0.11390458758870936,3.1511503554063185,0.0017739521997745145,4.751559133762484,23.281152709702383,0.06051743277848392,0.11892424784019866,-1.1811899455141912,19.57738034116774,0.33099533735146025,3.0819908261804603,18.7305990527886,0.08342022673498838
ZTF18aaqnrum,0.20755682657448654,1.5151112512859362,22.773018173205323,0.7025929558076374,3.050974199753457,14.946507097666434,0.08512530244697715,0.15609042759189487,1.997872535694833,23.61743670668257,0.44934941603116946,2.5618607965144946,45.19556970541129,0.10551629834420302
ZTF18aaqvuhl,0.6087099754722746,-11.430284375883344,23.883698210867585,0.8603798345580561,2.2268816330038406,26.50908962485316,0.116770642821939,0.5495686956764829,-0.10388475190202534,17.37890165805104,0.7090477086725532,8.542153860815437,21.214226755701272,0.015716223420069026
ZTF18aarcypa,0.07285312906148997,49.99935319221958,99.99866090354485,0.21549971801597384,99.99913120103241,99.99999974412164,0.5062105381417601,,,,,,,
